"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1621","AuthAndChangePassword_FullFlow_WorksCorrectly","IntegrationTests","Sun Nov 30 19:13:25 UTC 2025","passed","Sun Nov 30 19:13:27 UTC 2025","AuthE2ETests","IntegrationTests.Rest","IntegrationTests.Rest.AuthE2ETests","AuthAndChangePassword_FullFlow_WorksCorrectly"
"","2","CreateProperty_ShouldThrow_WhenPersonDoesNotExist","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","CreateProperty_ShouldThrow_WhenPersonDoesNotExist"
"","2","WithValidEmail_CallsRepository","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithValidEmail_CallsRepository"
"","3","SetPersonsRelationship_WithValidIds_CallsRepository","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PersonServiceTests+SetPersonsRelationshipTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+SetPersonsRelationshipTests","SetPersonsRelationship_WithValidIds_CallsRepository"
"","2","GetPerson_ShouldThrow_WhenNotFound","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PersonRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PersonRepositoryInMemoryTests","GetPerson_ShouldThrow_WhenNotFound"
"","4","GetPersonDocuments_ShouldThrow_WhenPersonNotFound","IntegrationTests","Sun Nov 30 19:13:27 UTC 2025","passed","Sun Nov 30 19:13:27 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","GetPersonDocuments_ShouldThrow_WhenPersonNotFound"
"","5","GetCharacteristicById_ShouldThrow_WhenNotFound","IntegrationTests","Sun Nov 30 19:13:30 UTC 2025","passed","Sun Nov 30 19:13:30 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","GetCharacteristicById_ShouldThrow_WhenNotFound"
"","12","WithValidData_CallsRepository","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PersonServiceTests+AddPersonPropertyTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonPropertyTests","WithValidData_CallsRepository"
"","7","DeleteUser_ShouldThrow_WhenUserNotFound","IntegrationTests","Sun Nov 30 19:13:31 UTC 2025","passed","Sun Nov 30 19:13:31 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","DeleteUser_ShouldThrow_WhenUserNotFound"
"","5","ChangePassword_ValidInput_ChangesPassword","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","AuthServiceTests","UnitTests.Services","UnitTests.Services.AuthServiceTests","ChangePassword_ValidInput_ChangesPassword"
"","7","GetPersonProperties_ShouldReturnEmpty_WhenNoProperties","IntegrationTests","Sun Nov 30 19:13:29 UTC 2025","passed","Sun Nov 30 19:13:29 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","GetPersonProperties_ShouldReturnEmpty_WhenNoProperties"
"","1","GetPersonProperties_ShouldReturnEmpty_WhenNoProperties","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","GetPersonProperties_ShouldReturnEmpty_WhenNoProperties"
"","11","DeleteContact_ShouldDeleteSuccessfully","IntegrationTests","Sun Nov 30 19:13:25 UTC 2025","passed","Sun Nov 30 19:13:25 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","DeleteContact_ShouldDeleteSuccessfully"
"","7","SetRelationship_ShouldThrow_WhenDeletingNonExistingRelationship","IntegrationTests","Sun Nov 30 19:13:24 UTC 2025","passed","Sun Nov 30 19:13:24 UTC 2025","RelationshipRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","SetRelationship_ShouldThrow_WhenDeletingNonExistingRelationship"
"","20","GetPersonProperties_ShouldThrow_WhenPersonNotFound","IntegrationTests","Sun Nov 30 19:13:28 UTC 2025","passed","Sun Nov 30 19:13:28 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","GetPersonProperties_ShouldThrow_WhenPersonNotFound"
"","18","ChangePersonGeneralInfo_WithValidData_CallsRepository","UnitTests","Sun Nov 30 19:12:45 UTC 2025","passed","Sun Nov 30 19:12:45 UTC 2025","PersonServiceTests+ChangePersonGeneralInfoTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+ChangePersonGeneralInfoTests","ChangePersonGeneralInfo_WithValidData_CallsRepository"
"","2","ChangePassword_ShouldThrow_WhenUserNotFound","UnitTests","Sun Nov 30 19:12:44 UTC 2025","passed","Sun Nov 30 19:12:44 UTC 2025","UserRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.UserRepositoryInMemoryTests","ChangePassword_ShouldThrow_WhenUserNotFound"
