"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments","IntegrationTests","Sun Nov 30 18:13:59 UTC 2025","passed","Sun Nov 30 18:13:59 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments"
"","16","GetPersonIdByContact_ShouldThrowException_WhenContactNotFound","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","GetPersonIdByContact_ShouldThrowException_WhenContactNotFound"
"","2","WithUnknownContactType_ThrowsValidationException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithUnknownContactType_ThrowsValidationException"
"","3","GetPersonRelationships_WithDepth2_ReturnsMultiLevelRelationships1","UnitTests","Sun Nov 30 18:13:12 UTC 2025","passed","Sun Nov 30 18:13:12 UTC 2025","PersonServiceTests+GetPersonRelationshipsTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonRelationshipsTests","GetPersonRelationships_WithDepth2_ReturnsMultiLevelRelationships1"
"","1","WithInvalidEmail_ThrowsValidationException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException"
"","3","ChangePassword_UserNotFound_ThrowsUserNotFoundException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","AuthServiceTests","UnitTests.Services","UnitTests.Services.AuthServiceTests","ChangePassword_UserNotFound_ThrowsUserNotFoundException"
"","5","SetRelationship_ShouldDeleteRelationship","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","RelationshipRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","SetRelationship_ShouldDeleteRelationship"
"","1","GetPersonDocuments_ShouldThrow_WhenPersonNotFound","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","GetPersonDocuments_ShouldThrow_WhenPersonNotFound"
"","12","ChangePassword_ShouldThrow_WhenUserNotFound","IntegrationTests","Sun Nov 30 18:13:56 UTC 2025","passed","Sun Nov 30 18:13:56 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","ChangePassword_ShouldThrow_WhenUserNotFound"
"","0","WithInvalidEmail_ThrowsValidationException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException"
"","3","CreatePerson_ShouldThrow_WhenIdAlreadyExists","UnitTests","Sun Nov 30 18:13:13 UTC 2025","passed","Sun Nov 30 18:13:13 UTC 2025","PersonRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PersonRepositoryInMemoryTests","CreatePerson_ShouldThrow_WhenIdAlreadyExists"
"","9","CreateCharacteristic_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:14:00 UTC 2025","passed","Sun Nov 30 18:14:00 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","CreateCharacteristic_ShouldCreateSuccessfully"
"","189","CreateCharacteristic_ShouldThrow_WhenAuthorDoesNotExist","UnitTests","Sun Nov 30 18:13:13 UTC 2025","passed","Sun Nov 30 18:13:13 UTC 2025","CharacteristicRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.CharacteristicRepositoryInMemoryTests","CreateCharacteristic_ShouldThrow_WhenAuthorDoesNotExist"
"","6","CreatePerson_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:13:53 UTC 2025","passed","Sun Nov 30 18:13:53 UTC 2025","PersonRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PersonRepositoryPostgresTests","CreatePerson_ShouldCreateSuccessfully"
"","2","CreateProperty_ShouldThrow_WhenPersonDoesNotExist","UnitTests","Sun Nov 30 18:13:13 UTC 2025","passed","Sun Nov 30 18:13:13 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","CreateProperty_ShouldThrow_WhenPersonDoesNotExist"
"","21","GetPersonProperties_ShouldThrow_WhenPersonNotFound","IntegrationTests","Sun Nov 30 18:13:57 UTC 2025","passed","Sun Nov 30 18:13:57 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","GetPersonProperties_ShouldThrow_WhenPersonNotFound"
"","225","CreatePerson_ShouldThrow_WhenIdAlreadyExists","IntegrationTests","Sun Nov 30 18:13:52 UTC 2025","passed","Sun Nov 30 18:13:52 UTC 2025","PersonRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PersonRepositoryPostgresTests","CreatePerson_ShouldThrow_WhenIdAlreadyExists"
"","1","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist"
"","6","GetUser_ShouldThrow_WhenUserNotFound","IntegrationTests","Sun Nov 30 18:13:57 UTC 2025","passed","Sun Nov 30 18:13:57 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","GetUser_ShouldThrow_WhenUserNotFound"
"","8","GetPerson_ShouldReturnPerson_WhenExists","IntegrationTests","Sun Nov 30 18:13:53 UTC 2025","passed","Sun Nov 30 18:13:53 UTC 2025","PersonRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PersonRepositoryPostgresTests","GetPerson_ShouldReturnPerson_WhenExists"
"","9","DeleteDocument_ShouldDeleteSuccessfully","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","DeleteDocument_ShouldDeleteSuccessfully"
"","11","DeleteCharacteristic_ShouldThrow_WhenNotFound","IntegrationTests","Sun Nov 30 18:13:59 UTC 2025","passed","Sun Nov 30 18:13:59 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","DeleteCharacteristic_ShouldThrow_WhenNotFound"
"","3","ChangePersonGeneralInfo_WithValidData_CallsRepository","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+ChangePersonGeneralInfoTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+ChangePersonGeneralInfoTests","ChangePersonGeneralInfo_WithValidData_CallsRepository"
"","6","GetPersonsCharacteristics_ShouldReturnEmpty_WhenNoCharacteristics","IntegrationTests","Sun Nov 30 18:13:59 UTC 2025","passed","Sun Nov 30 18:13:59 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","GetPersonsCharacteristics_ShouldReturnEmpty_WhenNoCharacteristics"
"","4","GetPersonContacts_ShouldReturnFilteredContacts","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","GetPersonContacts_ShouldReturnFilteredContacts"
"","11","SetRelationship_ShouldCreateRelationship","IntegrationTests","Sun Nov 30 18:13:54 UTC 2025","passed","Sun Nov 30 18:13:54 UTC 2025","RelationshipRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","SetRelationship_ShouldCreateRelationship"
"","15","WithInvalidPassportJson_ThrowsValidationException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+AddPersonDocumentTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonDocumentTests","WithInvalidPassportJson_ThrowsValidationException"
"","9","CreateContact_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 18:13:55 UTC 2025","passed","Sun Nov 30 18:13:55 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","CreateContact_ShouldCreateSuccessfully"
"","53","DeleteDocument_ShouldDeleteSuccessfully","IntegrationTests","Sun Nov 30 18:13:58 UTC 2025","passed","Sun Nov 30 18:13:58 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","DeleteDocument_ShouldDeleteSuccessfully"
"","2","DeletePerson_WithValidId_CallsRepository","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+DeletePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonTests","DeletePerson_WithValidId_CallsRepository"
"","1","WithInvalidEmail_ThrowsValidationException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException"
"","5","GetPerson_WithValidId_ReturnsPersonFull","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+GetPersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonTests","GetPerson_WithValidId_ReturnsPersonFull"
"","2","WithInvalidPhone_ThrowsValidationException","UnitTests","Sun Nov 30 18:13:14 UTC 2025","passed","Sun Nov 30 18:13:14 UTC 2025","PersonServiceTests+GetPersonIdByContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonIdByContactTests","WithInvalidPhone_ThrowsValidationException"
