"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","WithValidId_CallsRepository","UnitTests","Sun Nov 30 16:26:55 UTC 2025","passed","Sun Nov 30 16:26:55 UTC 2025","PersonServiceTests+DeletePersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonContactTests","WithValidId_CallsRepository"
"","11","WithValidData_CallsRepository","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+AddPersonPropertyTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonPropertyTests","WithValidData_CallsRepository"
"","31","WithValidId_CallsRepository","UnitTests","Sun Nov 30 16:26:55 UTC 2025","passed","Sun Nov 30 16:26:55 UTC 2025","PersonServiceTests+DeletePersonPropertyTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonPropertyTests","WithValidId_CallsRepository"
"","71","GetPersonProperties_ShouldThrow_WhenPersonNotFound","IntegrationTests","Sun Nov 30 16:27:28 UTC 2025","passed","Sun Nov 30 16:27:28 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","GetPersonProperties_ShouldThrow_WhenPersonNotFound"
"","2","GetUser_ShouldThrow_WhenUserNotFound","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","UserRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.UserRepositoryInMemoryTests","GetUser_ShouldThrow_WhenUserNotFound"
"","7","DeleteUser_ShouldDeleteSuccessfully","IntegrationTests","Sun Nov 30 16:27:27 UTC 2025","passed","Sun Nov 30 16:27:27 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","DeleteUser_ShouldDeleteSuccessfully"
"","3","DeleteContact_ShouldDeleteSuccessfully","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","DeleteContact_ShouldDeleteSuccessfully"
"","1","DeletePerson_WithDefaultId_ThrowsArgumentException","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+DeletePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonTests","DeletePerson_WithDefaultId_ThrowsArgumentException"
"","9","SetRelationship_ShouldCreateRelationship","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","RelationshipRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.RelationshipRepositoryInMemoryTests","SetRelationship_ShouldCreateRelationship"
"","4","GetCharacteristicById_ShouldThrow_WhenNotFound","IntegrationTests","Sun Nov 30 16:27:30 UTC 2025","passed","Sun Nov 30 16:27:30 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","GetCharacteristicById_ShouldThrow_WhenNotFound"
"","1","WithValidEmail_CallsRepository","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithValidEmail_CallsRepository"
"","23","CreateProperty_ShouldThrow_WhenPersonDoesNotExist","IntegrationTests","Sun Nov 30 16:27:28 UTC 2025","passed","Sun Nov 30 16:27:28 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","CreateProperty_ShouldThrow_WhenPersonDoesNotExist"
"","7","CreatePerson_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 16:27:28 UTC 2025","passed","Sun Nov 30 16:27:28 UTC 2025","PersonRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PersonRepositoryPostgresTests","CreatePerson_ShouldCreateSuccessfully"
"","9","CreateDocument_ShouldCreateSuccessfully","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","CreateDocument_ShouldCreateSuccessfully"
"","2","WithInvalidPhone_ThrowsValidationException","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+GetPersonIdByContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonIdByContactTests","WithInvalidPhone_ThrowsValidationException"
"","9","CreateDocument_ShouldThrow_WhenDocumentAlreadyExists","IntegrationTests","Sun Nov 30 16:27:25 UTC 2025","passed","Sun Nov 30 16:27:25 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","CreateDocument_ShouldThrow_WhenDocumentAlreadyExists"
"","538","DeleteDocument_ShouldDeleteSuccessfully","IntegrationTests","Sun Nov 30 16:27:24 UTC 2025","passed","Sun Nov 30 16:27:25 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","DeleteDocument_ShouldDeleteSuccessfully"
"","6","DeleteUser_ShouldThrow_WhenUserNotFound","IntegrationTests","Sun Nov 30 16:27:27 UTC 2025","passed","Sun Nov 30 16:27:27 UTC 2025","UserRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.UserRepositoryPostgresTests","DeleteUser_ShouldThrow_WhenUserNotFound"
"","2","CreatePerson_WithValidData_ReturnsGuid","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+CreatePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+CreatePersonTests","CreatePerson_WithValidData_ReturnsGuid"
"","5","ChangePassword_ValidInput_ChangesPassword","UnitTests","Sun Nov 30 16:26:55 UTC 2025","passed","Sun Nov 30 16:26:55 UTC 2025","AuthServiceTests","UnitTests.Services","UnitTests.Services.AuthServiceTests","ChangePassword_ValidInput_ChangesPassword"
"","27","WithInvalidEmail_ThrowsValidationException","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException"
"","43","Login_ValidCredentials_ReturnsJwtToken","UnitTests","Sun Nov 30 16:26:55 UTC 2025","passed","Sun Nov 30 16:26:55 UTC 2025","AuthServiceTests","UnitTests.Services","UnitTests.Services.AuthServiceTests","Login_ValidCredentials_ReturnsJwtToken"
"","193","CreateDocument_ShouldThrow_WhenDocumentAlreadyExists","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","CreateDocument_ShouldThrow_WhenDocumentAlreadyExists"
"","9","GetCharacteristicById_ShouldReturnCharacteristic","IntegrationTests","Sun Nov 30 16:27:29 UTC 2025","passed","Sun Nov 30 16:27:29 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","GetCharacteristicById_ShouldReturnCharacteristic"
"","11","DeleteCharacteristic_ShouldThrow_WhenNotFound","IntegrationTests","Sun Nov 30 16:27:29 UTC 2025","passed","Sun Nov 30 16:27:29 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","DeleteCharacteristic_ShouldThrow_WhenNotFound"
"","22","DeleteDocument_ShouldDeleteSuccessfully","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","DeleteDocument_ShouldDeleteSuccessfully"
"","2","CreatePerson_ShouldCreateSuccessfully","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","PersonRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PersonRepositoryInMemoryTests","CreatePerson_ShouldCreateSuccessfully"
"","4","GetPerson_ShouldThrow_WhenNotFound","IntegrationTests","Sun Nov 30 16:27:28 UTC 2025","passed","Sun Nov 30 16:27:28 UTC 2025","PersonRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PersonRepositoryPostgresTests","GetPerson_ShouldThrow_WhenNotFound"
"","3","CreateUser_ShouldCreateSuccessfully","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","UserRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.UserRepositoryInMemoryTests","CreateUser_ShouldCreateSuccessfully"
"","1","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","GetPersonContacts_ShouldThrowException_WhenPersonDoesNotExist"
"","33","CreateProperty_ShouldCreateSuccessfully","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","CreateProperty_ShouldCreateSuccessfully"
"","1","DeletePerson_WithValidId_CallsRepository","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+DeletePersonTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+DeletePersonTests","DeletePerson_WithValidId_CallsRepository"
"","17","CreateContact_ShouldCreateSuccessfully","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","CreateContact_ShouldCreateSuccessfully"
"","8","CreateContact_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 16:27:32 UTC 2025","passed","Sun Nov 30 16:27:32 UTC 2025","ContactRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.ContactRepositoryPostgresTests","CreateContact_ShouldCreateSuccessfully"
"","24","GetPersonRelationships_ShouldReturnEmpty_WhenNoRelationships","IntegrationTests","Sun Nov 30 16:27:30 UTC 2025","passed","Sun Nov 30 16:27:30 UTC 2025","RelationshipRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","GetPersonRelationships_ShouldReturnEmpty_WhenNoRelationships"
"","20","ChangePersonGeneralInfo_WithValidData_CallsRepository","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","PersonServiceTests+ChangePersonGeneralInfoTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+ChangePersonGeneralInfoTests","ChangePersonGeneralInfo_WithValidData_CallsRepository"
"","7","DeleteProperty_ShouldDeleteSuccessfully","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PropertyRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PropertyRepositoryInMemoryTests","DeleteProperty_ShouldDeleteSuccessfully"
"","6","DeleteContact_ShouldThrowException_WhenContactDoesNotExist","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","ContactRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.ContactRepositoryInMemoryTests","DeleteContact_ShouldThrowException_WhenContactDoesNotExist"
"","12","UpdatePerson_ShouldUpdateSuccessfully","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","PersonRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.PersonRepositoryInMemoryTests","UpdatePerson_ShouldUpdateSuccessfully"
"","5","DeleteDocument_ShouldThrow_WhenDocumentNotFound","IntegrationTests","Sun Nov 30 16:27:25 UTC 2025","passed","Sun Nov 30 16:27:25 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","DeleteDocument_ShouldThrow_WhenDocumentNotFound"
"","20","CreateProperty_ShouldCreateSuccessfully","IntegrationTests","Sun Nov 30 16:27:28 UTC 2025","passed","Sun Nov 30 16:27:28 UTC 2025","PropertyRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.PropertyRepositoryPostgresTests","CreateProperty_ShouldCreateSuccessfully"
"","2","GetPersonDocuments_ShouldThrow_WhenPersonNotFound","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","GetPersonDocuments_ShouldThrow_WhenPersonNotFound"
"","4","ChangePassword_UserNotFound_ThrowsUserNotFoundException","UnitTests","Sun Nov 30 16:26:55 UTC 2025","passed","Sun Nov 30 16:26:55 UTC 2025","AuthServiceTests","UnitTests.Services","UnitTests.Services.AuthServiceTests","ChangePassword_UserNotFound_ThrowsUserNotFoundException"
"","15","WithInvalidPassportJson_ThrowsValidationException","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+AddPersonDocumentTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonDocumentTests","WithInvalidPassportJson_ThrowsValidationException"
"","204","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments","UnitTests","Sun Nov 30 16:26:56 UTC 2025","passed","Sun Nov 30 16:26:56 UTC 2025","DocumentRepositoryInMemoryTests","UnitTests.Repositories","UnitTests.Repositories.DocumentRepositoryInMemoryTests","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments"
"","3","SetPersonsRelationship_WithValidIds_CallsRepository","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+SetPersonsRelationshipTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+SetPersonsRelationshipTests","SetPersonsRelationship_WithValidIds_CallsRepository"
"","41","DeleteCharacteristic_ShouldDeleteSuccessfully","IntegrationTests","Sun Nov 30 16:27:29 UTC 2025","passed","Sun Nov 30 16:27:29 UTC 2025","CharacteristicRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.CharacteristicRepositoryPostgresTests","DeleteCharacteristic_ShouldDeleteSuccessfully"
"","8","GetPersonsRelationship_ShouldThrow_WhenNotFound","IntegrationTests","Sun Nov 30 16:27:30 UTC 2025","passed","Sun Nov 30 16:27:30 UTC 2025","RelationshipRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.RelationshipRepositoryPostgresTests","GetPersonsRelationship_ShouldThrow_WhenNotFound"
"","1","GetPersonRelationships_WhenDepthIsZero_ThrowsArgumentException","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+GetPersonRelationshipsTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonRelationshipsTests","GetPersonRelationships_WhenDepthIsZero_ThrowsArgumentException"
"","3","GetPersonRelationships_WithDepth2_ReturnsMultiLevelRelationships1","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+GetPersonRelationshipsTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+GetPersonRelationshipsTests","GetPersonRelationships_WithDepth2_ReturnsMultiLevelRelationships1"
"","0","WithInvalidEmail_ThrowsValidationException","UnitTests","Sun Nov 30 16:26:57 UTC 2025","passed","Sun Nov 30 16:26:57 UTC 2025","PersonServiceTests+AddPersonContactTests","UnitTests.Services","UnitTests.Services.PersonServiceTests+AddPersonContactTests","WithInvalidEmail_ThrowsValidationException"
"","7","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments","IntegrationTests","Sun Nov 30 16:27:25 UTC 2025","passed","Sun Nov 30 16:27:25 UTC 2025","DocumentRepositoryPostgresTests","IntegrationTests.Repositories","IntegrationTests.Repositories.DocumentRepositoryPostgresTests","GetPersonDocuments_ShouldReturnEmpty_WhenNoDocuments"
